Instrument,Sales,AV_kept,AV_repro,EPV,MktCap,Fr_kept,Fr_repro,EPVoverAV_kept,EPVoverAV_repro,MktCap_over_EPV,AVrepro_over_MktCap,ROICm7,WACC,CoreMoat,CompanyMoat
ADBE.OQ,23769000000.0,37955735211.85868,26090330218.315495,121322696418.26253,134006418000.0,83366961206.40384,95232366199.94704,3.1964259351339646,4.650101988095712,1.104545332045787,0.194694631852002,0.268145617,0.06998726050361165,8.1,7.2
5246.T,26080485.7367065,56146198.97765831,45974665.42295834,87815790.47114693,98262942.8370157,31669591.493488617,41841125.04818859,1.56405584118153,1.9100909090530198,1.1189666722786187,0.46787389116988315,0.0,0.07400000000000001,8.05,7.0
WIIT.MI,185333760.609127,100176556.99350345,287843117.24819255,396238887.0709878,666429847.433142,296062330.07748437,108395769.82279527,3.955405325985443,1.3765793355042466,1.681889055260112,0.43191810564437505,0.1263638124,0.085,7.65,7.15
WK.N,884568000.0,1357129011.7282107,1244961591.5966258,1797977376.202218,4841044226.25,440848364.47400737,553015784.6055923,1.3248389509502985,1.4442030889453916,2.692494516519172,0.25716798554451664,0.08486599560000001,0.07,7.7,6.9
IT.N,6497226000.0,5868899379.155363,3738231834.2716064,19374702152.753784,18183622140.6,13505802773.598421,15636470318.482178,3.301249672394646,5.182851950253358,0.9385239575420005,0.2055823534698823,0.2530631445,0.06525843806164278,8.7,7.7
IGNY.BU,2176015368.4306,491641254.73357546,-2566875435.2803283,1784353144.0420837,3812259710.15467,1292711889.3085084,4351228579.3224125,3.6293804209108522,,2.1364939574230144,-0.6733212400096912,0.1406804845,0.07,7.45,6.05
TEMN.S,1090830000.0,1602921863.511293,238824430.4221108,5340910755.546322,7224294965.54336,3737988892.035029,5102086325.124211,3.3319844698148593,22.363335049544624,1.352633529410919,0.033058510423674005,0.1180071129,0.06417391612958807,7.85,7.05
9449.T,1910377666.64916,2383611344.4828043,3855279520.955307,11435734150.823845,2708051568.72008,9052122806.341042,7580454629.868538,4.797650496710976,2.9662529237283843,0.23680609683681642,1.4236359327446069,-0.1047287997,0.044,7.45,6.35
YUBICO.ST,227000222.992976,310648999.847644,298032981.96954495,798175831.7300909,725170738.388955,487526831.8824469,500142849.7605459,2.5693816240243863,2.678145977184679,0.9085350740539296,0.41098318808568773,0.0,0.07,7.65,6.85
CRCL.N,2746642000.0,4480682168.8,3730326982.9709263,4708022590.602283,18673214366.3,227340421.80228233,977695607.6313562,1.050737904014997,1.2620938089595284,3.9662541984343354,0.1997688726641053,0.0,0.07,6.95,6.6
